ID,Fecha,Grupo,Modo,Submodo,TempControl,Estado,Rec1,Rec2,Renov1,Renov2,Renov3,Sensores,Estado_Bateria,Nivel_Bateria,TempAmbiente,TempPollitos,Humedad,AccionUsuario,DatoCrudo
417,3:44:34,Principal,Automatico,Frio -,24,Ok,Encendido,Encendido,Encendido,Encendido,Encendido,Ok,Ok,13.7,28.8,30.5,S/D,,
419,3:44:41,Principal,Automatico,Frio -,24,Ok,Encendido,Encendido,Encendido,Encendido,Encendido,Ok,Ok,13.6,28.7,30.5,S/D,,
421,3:44:48,Principal,Automatico,Frio -,24,Ok,Encendido,Encendido,Encendido,Encendido,Encendido,Ok,Ok,13.7,28.7,30.6,S/D,,
423,3:44:55,Principal,Automatico,Frio -,24,Ok,Encendido,Encendido,Encendido,Encendido,Encendido,Ok,Ok,13.6,28.7,30.6,S/D,,
425,3:45:02,Principal,Automatico,Frio -,24,Ok,Encendido,Encendido,Encendido,Encendido,Encendido,Ok,Ok,13.7,28.7,30.7,S/D,,
427,3:45:17,Principal,Automatico,Frio -,24,Ok,Encendido,Encendido,Encendido,Encendido,Encendido,Ok,Ok,13.7,28.7,30.7,S/D,,
429,3:45:24,Principal,Automatico,Frio -,24,Ok,Encendido,Encendido,Encendido,Encendido,Encendido,Ok,Ok,13.7,28.7,30.7,S/D,,
431,3:45:31,Principal,Automatico,Frio -,24,Ok,Encendido,Encendido,Encendido,Encendido,Encendido,Ok,Ok,13.7,28.7,30.7,S/D,,
433,3:45:45,Principal,Automatico,Frio -,24,Ok,Encendido,Encendido,Encendido,Encendido,Encendido,Ok,Ok,13.7,28.7,30.8,S/D,,
435,3:45:53,Principal,Automatico,Frio -,24,Ok,Encendido,Encendido,Encendido,Encendido,Encendido,Ok,Ok,13.6,28.7,30.8,S/D,,
437,3:46:00,Principal,Automatico,Frio -,24,Ok,Encendido,Encendido,Encendido,Encendido,Encendido,Ok,Ok,13.3,28.7,30.8,S/D,,
439,3:46:07,Principal,Automatico,Frio -,24,Ok,Encendido,Encendido,Encendido,Encendido,Encendido,Ok,Ok,12.9,28.7,30.8,S/D,,
441,3:46:14,Principal,Automatico,Frio -,24,Ok,Encendido,Encendido,Encendido,Encendido,Encendido,Ok,Ok,13.5,28.7,30.9,S/D,,
444,3:46:21,Principal,Automatico,Frio -,24,Ok,Encendido,Encendido,Encendido,Encendido,Encendido,Ok,Ok,13.7,28.7,30.9,S/D,,
446,3:46:28,Principal,Automatico,Frio -,24,Ok,Encendido,Encendido,Encendido,Encendido,Encendido,Ok,Ok,13.7,28.6,30.9,S/D,,
